,case,Journey1
,JourneyCode:,1
,HolidayType:,"Bathing,"
,Price:,2498
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"April,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel White House, Egypt."
,,
,,
,,
defcase,2,
,objects,
,case,Journey2
,JourneyCode:,2
,HolidayType:,"Bathing,"
,Price:,3066
,NumberOfPersons:,3
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,21
,Season:,"May,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel White House, Egypt."
,,
,,
,,
defcase,3,
,objects,
,case,Journey3
,JourneyCode:,3
,HolidayType:,"Active,"
,Price:,2778
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Geisum, Egypt."
,,
,,
,,
defcase,4,
,objects,
,case,Journey4
,JourneyCode:,4
,HolidayType:,"Bathing,"
,Price:,3195
,NumberOfPersons:,3
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Al Mashrabia, Egypt."
,,
,,
,,
defcase,5,
,objects,
,case,Journey5
,JourneyCode:,5
,HolidayType:,"Bathing,"
,Price:,3158
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Al Mashrabia, Egypt."
,,
,,
,,
defcase,6,
,objects,
,case,Journey6
,JourneyCode:,6
,HolidayType:,"Active,"
,Price:,3318
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"October,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Al Mashrabia, Egypt."
,,
,,
,,
defcase,7,
,objects,
,case,Journey7
,JourneyCode:,7
,HolidayType:,"Bathing,"
,Price:,2458
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Winter Palace, Egypt."
,,
,,
,,
defcase,8,
,objects,
,case,Journey8
,JourneyCode:,8
,HolidayType:,"Active,"
,Price:,2649
,NumberOfPersons:,3
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Winter Palace, Egypt."
,,
,,
,,
defcase,9,
,objects,
,case,Journey9
,JourneyCode:,9
,HolidayType:,"Education,"
,Price:,4638
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,21
,Season:,"April,"
,Accommodation:,"FourStars,"
,Hotel:,"Anlage Arabia Beach, Egypt."
,,
,,
,,
defcase,10,
,objects,
,case,Journey10
,JourneyCode:,10
,HolidayType:,"Education,"
,Price:,3738
,NumberOfPersons:,2
,Region:,"Egypt,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"October,"
,Accommodation:,"FourStars,"
,Hotel:,"Anlage Arabia Beach, Egypt."
,,
,,
,,
defcase,11,
,objects,
,case,Journey11
,JourneyCode:,11
,HolidayType:,"City,"
,Price:,1978
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"April,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Victoria, Cairo."
,,
,,
,,
defcase,12,
,objects,
,case,Journey12
,JourneyCode:,12
,HolidayType:,"City,"
,Price:,1898
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"May,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Victoria, Cairo."
,,
,,
,,
defcase,13,
,objects,
,case,Journey13
,JourneyCode:,13
,HolidayType:,"City,"
,Price:,2158
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Victoria, Cairo."
,,
,,
,,
defcase,14,
,objects,
,case,Journey14
,JourneyCode:,14
,HolidayType:,"City,"
,Price:,1898
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"September,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Victoria, Cairo."
,,
,,
,,
defcase,15,
,objects,
,case,Journey15
,JourneyCode:,15
,HolidayType:,"City,"
,Price:,1154
,NumberOfPersons:,1
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"October,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel New Marwa Palace, Cairo."
,,
,,
,,
defcase,16,
,objects,
,case,Journey16
,JourneyCode:,16
,HolidayType:,"City,"
,Price:,2308
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"April,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel New Marwa Palace, Cairo."
,,
,,
,,
defcase,17,
,objects,
,case,Journey17
,JourneyCode:,17
,HolidayType:,"City,"
,Price:,2658
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"May,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel New Marwa Palace, Cairo."
,,
,,
,,
defcase,18,
,objects,
,case,Journey18
,JourneyCode:,18
,HolidayType:,"City,"
,Price:,1269
,NumberOfPersons:,1
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel New Marwa Palace, Cairo."
,,
,,
,,
defcase,19,
,objects,
,case,Journey19
,JourneyCode:,19
,HolidayType:,"City,"
,Price:,2608
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"May,"
,Accommodation:,"FiveStars,"
,Hotel:,"Hotel Moevenpick, Cairo."
,,
,,
,,
defcase,20,
,objects,
,case,Journey20
,JourneyCode:,20
,HolidayType:,"City,"
,Price:,2468
,NumberOfPersons:,2
,Region:,"Cairo,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"FiveStars,"
,Hotel:,"Hotel Moevenpick, Cairo."
,,
